City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
Vaini,IN,1571631305,73.4,94,75,2.24,15.34,74.49
Ilulissat,GL,1571631305,19.4,62,89,2.24,69.22,-51.1
Kruisfontein,ZA,1571631306,55.29,92,97,10.65,-34.0,24.73
Kapaa,US,1571631306,82.4,78,90,8.05,22.08,-159.32
Lorengau,PG,1571631306,82.52,81,94,10.65,-2.02,147.27
Platanos,GR,1571631307,71.01,100,20,17.11,35.47,23.6
Narsaq,GL,1571631311,48.2,19,0,20.8,60.91,-46.05
Planaltina,BR,1571631312,78.8,57,75,4.7,-15.62,-47.66
Balkanabat,TM,1571631312,58.28,85,0,2.42,39.51,54.36
Ambon,FR,1571631312,51.01,100,0,5.82,47.55,-2.56
Ushuaia,AR,1571631313,29.6,93,13,4.21,-54.81,-68.31
Hami,CN,1571631314,55.36,17,0,3.09,42.84,93.51
San Patricio,PY,1571631314,61.14,97,96,5.77,-26.98,-56.83
Shashi,CN,1571631314,78.6,29,0,5.23,27.02,114.08
Mataura,NZ,1571631314,48.0,71,82,8.99,-46.19,168.86
Sao Gabriel da Cachoeira,BR,1571631315,74.6,94,100,0.76,-0.13,-67.09
Jamestown,AU,1571631316,83.15,16,35,1.77,-33.21,138.6
Khatanga,RU,1571631316,19.63,94,100,15.21,71.98,102.47
Pokhara,NP,1571631316,55.68,51,32,3.22,28.21,83.99
Beringovskiy,RU,1571631317,19.45,76,100,6.73,63.05,179.32
Ribeira Grande,PT,1571631317,65.33,61,52,8.81,38.52,-28.7
Torbay,CA,1571631317,43.0,86,75,13.87,47.66,-52.73
Yellowknife,CA,1571631318,24.01,92,5,3.36,62.45,-114.38
Castro,CL,1571631318,41.0,86,75,9.17,-42.48,-73.76
Avarua,CK,1571631319,77.0,83,0,10.29,-21.21,-159.78
Punta Arenas,CL,1571631319,41.0,75,0,17.22,-53.16,-70.91
Cherskiy,RU,1571631319,4.76,90,0,1.63,68.75,161.3
